tweet_user_name,tweet_user_screen,follower_count,user_created,tweet_count,following_status,friends_count,favourites_count,description,user_verified,user_time_zone,user_location,user_tweet,hash_tag,tweet_source,location_from_tweets,tweet_sentiment_polarity,tweet_sentiment_subjectivity,match_ratio,country_partial_match_ratio,token_sort_match_ratio,token_set_match_ratio,location_from_tweets_match_ratio,location_from_tweets_country_partial_match_ratio,location_from_tweets_token_sort_match_ratio,location_from_tweets_token_set_match_ratio,input_disaster_location,input_disaster
Peter Merlin Cane,PeterMerlinCane,135671,Tue Oct 06 12:08:02 +0000 2020,171344,False,149047,75196,"Value diversity, think widely, be kind, write with passion! Author of 'Aly, Michelangelo's Son'. Brit, roots in 🇨🇦 and 🇧🇷. Book: https://t.co/HCz7OqYIRs 🌊",False,,"Sao Paulo, Brazil","Sir David Attenborough reveals the vast extent of the current catastrophe, offers hope, and explains what we can al… https://t.co/jntKtbOuyg",,Twitter Web App,,0.03333333333333333,0.4666666666666666,8,36,8,8,0,0,0,0,Mexico,cyclone
Tracking Tropics,greg_weather,505,Tue Oct 06 12:07:40 +0000 2020,3269,False,325,22808,"I mainly track tropical systems in the Atlantic basin. I track severe storms sometimes, especially during mdt/high risk days. Official Skywarn trained observer",False,,Southeastern Virginia ,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Dissolved Special Committee,ko_strad,1191,Tue Oct 06 12:07:23 +0000 2020,21533,False,1185,35205,"Nothing to see here, except $TSLAQ.
OK, and some politics.",False,,Unmasked,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter Web App,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
J. Smooth,jsmooth07,689,Tue Oct 06 12:06:39 +0000 2020,142141,False,2152,2741,"GSU Alum, Christ Follower, Professional Dancer, Local Rapper, Aspiring Supermodel, TV Guru, and Pop Culturalist. RTs ≠ Endorsements. #RihannaNAVY #ISFJ  🇨🇲🇨",False,,Gulla Gulla Island,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,TweetCaster for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Zj Sparks - 🇯🇲 Imizamo Yami,Sparkiebaby,77783,Tue Oct 06 12:06:25 +0000 2020,272526,False,7820,993,Steam Fish Wid Da Okra Body! Zip 103.1Fm (Home) 🇯🇲  Grammy Nominated Producer 🔥Multigenre Dj 🔥 Voice Actor.  BOOKINGS 1( 876 ) 881-7777  tango2684@gmail.com,False,,CEO Twelve 9 Recs JAMAICA ,"RT @jamaicaweather: BREAKING NEWS:
#Delta is now a #hurricane, the 9th of the 2020 Atlantic hurricane season. Jamaicans should continue to…","Delta,hurricane",Twitter for Android,"Delta,Atlantic",0.0,0.0,8,29,11,14,30,36,20,20,Mexico,cyclone
Italy in Houston,ItalyinHouston,2012,Tue Oct 06 12:06:18 +0000 2020,1879,False,48,101,Official account of the Consulate General of Italy in Houston / Profilo ufficiale del Consolato Generale d'Italia a Houston,True,,"Houston, TX United States",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Subdivided Double Agent 🇺🇸 🕆🆘🔜,IrishMaga,2031,Tue Oct 06 12:05:42 +0000 2020,83273,False,4993,101873,Former Political Journalist (Not Saying Who)/#MAGA/Catholic Conservative Libertarian/Rush and MTV Historian/Active Storm Chaser/University Of Miami Hurricanes,False,,"Florida, USA/Texas",RT @BobbiStorm: @hurrtrackerapp great #hurricane #app everyone should be using it. Allows u to forcus on the details &amp; clears away the clut…,"hurricane,app",Twitter for Android,,0.8,0.75,11,36,15,15,0,0,0,0,Mexico,cyclone
Rustyfishhook,wearadamnmask13,6,Tue Oct 06 12:05:08 +0000 2020,4717,False,44,11078,Meh,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
John Basham 🇺🇲,JohnBasham,46859,Tue Oct 06 12:05:05 +0000 2020,79760,False,9071,60529,"Meteorologist, AI Developer, @USArmy Retired, #IC, #SIGINT, Retired LEO, Former Elected Official, #OSINT #WX #AI #ML",False,,"Fort Worth, TX",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Meteorologist Vanessa Alonso WCBI,VAlonsoWCBI,2437,Tue Oct 06 12:04:57 +0000 2020,31562,False,2458,25934,"@WCBIWeather Sunrise/Midday & #OurChangingPlanet Meteorologist. #mswx #alwx Hometown Miami, FL. @UnivMiami Graduate. @AMetSoc CBM Seal #815. #WomenOfWx",False,,"Columbus, MS",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter Web App,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
BobbiStorm,BobbiStorm,4493,Tue Oct 06 12:04:30 +0000 2020,75215,False,950,36042,"Studied Meteorology & Geography at FIU for my degrees in International Relations & English. Writer, blogger, storm chaser and dancer. https://t.co/6JphU6i0PM",False,,Miami,#thinking outloud fueled by ⁦@Nespresso⁩ #PumpkinSpiceLatte turn sound out. #Hurricane #Delta vs #OctoberHurricane… https://t.co/kRci87u4OZ,"thinking,PumpkinSpiceLatte,Hurricane,Delta,OctoberHurricane",Twitter for iPhone,Delta,0.4,0.4,8,29,14,14,18,20,18,18,Mexico,cyclone
T.L. Ross,n2g1ide,750,Tue Oct 06 12:04:27 +0000 2020,20407,False,1093,40131,"Ret. DoD Analyst.  Independent.  
#FightBack against fraud & grifters.  #FightBack against politicians who lie, cheat, & sell out the U.S., to win.",False,,Chronosynclastic infundibulum,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,TweetDeck,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
NJOEM🇺🇸,ReadyNJ,68032,Tue Oct 06 12:04:27 +0000 2020,15592,False,706,27736,"Official Twitter account of the New Jersey Office of Emergency Management, NJ Task Force One (NJ-TF1), & NJ All-Hazards Incident Management Team  #ReadyNJ",True,,"West Trenton, NJ",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Curt Anderson,Miamicurt,3632,Tue Oct 06 12:04:23 +0000 2020,25277,False,1737,1978,Associated Press legal affairs reporter in South Florida. Proud dad of 3 lovely girls. Seeker of truth. University of Kentucky grad and hoops nut,True,,"Miami, FL",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPad,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Rob Goudy,robgoudy,438,Tue Oct 06 12:04:08 +0000 2020,11023,False,472,12548,Crosspoint UMC - Learning to impact the world one disciple at a time.,False,,"Niceville, FL",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Eyeofthestorminfo,Eyeofstorminfo,83,Tue Oct 06 12:04:00 +0000 2020,8256,False,1261,3504,Information about beautiful planet earth and the good (and not so good) people who live on it.,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Isabella,Isabell59549114,11,Tue Oct 06 12:04:00 +0000 2020,4620,False,87,1943,,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
KateATX,minnnyme,5011,Tue Oct 06 12:03:27 +0000 2020,302535,False,5488,5467,"Mom, Wife, Cat mom, Small Biz Owner, Former MI now TX. #Biden2020",False,,"Austin,Texas USA",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Riley Johnson,riley__johnson,196,Tue Oct 06 12:03:15 +0000 2020,17878,False,99,54191,,False,,"Alabama, USA",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Mama K,hummingalong12,1903,Tue Oct 06 12:02:52 +0000 2020,31164,False,5001,52386,The measure of who we are is what we do with what we have. ~Vince Lombardi~,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Jennifer Mcadams,jennifermcad,310,Tue Oct 06 12:02:42 +0000 2020,618,False,469,601,just a girl 👄💄💋,False,,"Atlanta, GA",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Chitown Kev,ChitownKev,820,Tue Oct 06 12:02:33 +0000 2020,29288,False,618,37902,Lifelong Michigan Wolverine fan/ graduate of Loyola U.-Chicago. I ALWAYS have...questions. Retweets are not necessarily endorsements. Pronouns: He/HIm,False,,"Illinois, USA",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter Web App,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Solo Jesús,madera_ricalde,27,Tue Oct 06 12:02:22 +0000 2020,3559,False,287,3739,Mexicano.,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
In§pire Life,Beauty4Ashes_1,3693,Tue Oct 06 12:01:31 +0000 2020,50958,False,2343,36202,Please PRAY 4 Our W🌏RLDLY LEADERS ~ #Gratitude #Nurses #Doctors #EMT #Janitors #Supermarkets #Pharmacies #Imperfect #Military💪#Veterans #Farmers #Heroes.,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Luther Wills-Dudich,LutherDuder,561,Tue Oct 06 12:01:19 +0000 2020,31175,False,3088,32653,"#Web developer-editor, Fed #disasternerd, former #energygeek, one-time #surrealist folk-rocker. Dharma, Gnosticism, EE/RE, cheesy movies & #doctorwho.",False,,"Here, There, and Everywhere",RT @philklotzbach: The 2020 Atlantic #hurricane season is currently tied with the 1916 Atlantic hurricane season for most continental US na…,hurricane,Twitter for iPhone,"Atlantic,Atlantic,US",0.25,0.45,6,36,11,12,15,33,15,24,Mexico,cyclone
J R,JIsganitisRiver,12,Tue Oct 06 12:01:02 +0000 2020,14789,False,110,30379,"hoping, wishing, praying for a happy ending 🙏🏻🌈🌥",False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
bitch,jupiterblvd,181,Tue Oct 06 11:59:26 +0000 2020,43119,False,330,25606,got no hoes no life,False,,,"RT @iCyclone: The good news about #TD26 (future #Hurricane #DELTA): if/when it strikes the Gulf Coast, it's likely to be 1) weakening &amp; 2)…","TD26,Hurricane,DELTA",Twitter for Android,the Gulf Coast,0.2333333333333333,0.5750000000000001,10,57,14,15,30,33,20,20,Mexico,cyclone
StoxMan,StoxMan1,4126,Tue Oct 06 11:58:41 +0000 2020,84887,False,1118,456659,"Proud @RealDonaldTrump Supporter, #KAG #MAGA. Love all things America/Constitution. Wish our elected officials would stop the petty nonsense, & work together !",False,,United States,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Being “Civil”,civil_being,70,Tue Oct 06 11:58:33 +0000 2020,9739,False,83,26143,Stupidity has a habit of getting its way.,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
NuNuBamaMom,ItsNotPersonal0,13255,Tue Oct 06 11:58:24 +0000 2020,55710,False,13445,33680,"Mom to 5 amazing kids, Mimi to 1. Wife of a combat #VET I’m not happy w/ politics @ the moment. I’m a right leaning swing vote #Independent #CureChildhoodCancer",False,,"Northeast, Alabama",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPad,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Marcia ⭐⭐⭐,Wintersdream4,895,Tue Oct 06 11:57:54 +0000 2020,5984,False,1922,21239,I STAND WITH #Q I STAND WITH #POTUS I STAND FOR GOD AND COUNTRY. #WWG1WGA,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Interim,Interim88563812,197,Tue Oct 06 11:57:47 +0000 2020,1132,False,437,3783,Just passing through.... looking for a little truth to take with me.,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Greg Yarbrough,GregYarbrough,5533,Tue Oct 06 11:57:46 +0000 2020,29277,False,1202,13970,"Managing Editor at KARK 4 News & FOX 16 News in Little Rock, AR - Proud Arkansas State University graduate - ASU Red Wolves fan - Cubs fan - Marathoner",True,,"Little Rock, AR",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Armando Argandahar,argandar,18537,Tue Oct 06 11:57:16 +0000 2020,183504,False,362,831,"Perdemos de vista el carácter y se nos olvidaba la verdad sencilla, el carácter es el destino.",False,,CDMX,"RT @weatherchannel: BREAKING: #Delta intensifies into the ninth #hurricane of the 2020 Atlantic hurricane season. 

Forecast to become a Ca…","Delta,hurricane",Echofon,"Delta,Atlantic",0.0,0.0,5,36,11,11,30,36,20,20,Mexico,cyclone
WeatherBug,WeatherBug,34358,Tue Oct 06 11:57:09 +0000 2020,55015,False,3629,2523,"See all the latest weather news, alerts, and tweets from WeatherBug. Know Before® severe weather arrives at https://t.co/ZM894YlxJy. Property of GroundTruth.",False,,"New York, NY",RT @philklotzbach: The 2020 Atlantic #hurricane season is currently tied with the 1916 Atlantic hurricane season for most continental US na…,hurricane,Twitter Web App,"Atlantic,Atlantic,US",0.25,0.45,6,36,11,12,15,33,15,24,Mexico,cyclone
Front Strike Self-Defense & Survival,FrontStrike,54,Tue Oct 06 11:57:01 +0000 2020,633,False,72,23,"Front Strike Self-Defense & Survival is based in Roswell, New Mexico.  We believe in your right to defend yourself and survive through training & preparation.",False,,"Roswell, NM",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPad,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Caballero de Noche,markankun,711,Tue Oct 06 11:56:57 +0000 2020,42309,False,973,164747,"ME GUSTA, QUE TE GUSTE, #HechoEnXavage",False,,"CANCUN, MEXICO",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Ashley Nix,AshleyLizNix,1346,Tue Oct 06 11:56:54 +0000 2020,19911,False,1762,376,"@UF alum. Single gal. #SocialMediaMarketing. Reality show junkie. #TweetElite by @JEZEBELmagazine. Loves: country music, football, gym & weather",False,,Atlanta,"RT @weatherchannel: BREAKING: #Delta intensifies into the ninth #hurricane of the 2020 Atlantic hurricane season. 

Forecast to become a Ca…","Delta,hurricane",Twitter for iPhone,"Delta,Atlantic",0.0,0.0,5,36,11,11,30,36,20,20,Mexico,cyclone
John Orr,CoyoteGulch,2224,Tue Oct 06 11:56:43 +0000 2020,165685,False,498,14994,Publisher of Coyote Gulch. Water issues junkie.,False,,"Denver, CO",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
William McKeown-Robbie,WilliamMR_Wx,288,Tue Oct 06 11:56:43 +0000 2020,12857,False,564,48700,"Valparaiso Meteorology 2024 ⛈🌪 / @NWI_AMS / @ValpoStorm / @Valpo_VEMO / Bruins, Red Sox, and Patriots / John 15:12 ✝️ / Born at 375ppm",False,,"Valparaiso, IN",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Samuel Yeagley,SamuelYeagley,262,Tue Oct 06 11:56:36 +0000 2020,17372,False,97,29703,Happily Married Grandfather; Proponent of Good Conscience; Lover of Life; Believer of Dreams; Prone to Criticism; Isolated; Individualistic; This too shall pass,False,,,"RT @News12Weather: NOW A CATEGORY 2: #Delta strengthens to #hurricane in the Caribbean. 

More Information - https://t.co/q0hgkmRlw5 https:…","Delta,hurricane",Twitter for iPhone,"Delta,Caribbean",0.5,0.5,4,29,11,12,19,17,10,10,Mexico,cyclone
Francisco Hurtado C,fxhurtadoc,7,Tue Oct 06 11:56:29 +0000 2020,72,False,85,39,The same @haranvaler but tweeting in english | 🏃🏽‍♂️ | From #Ecuador | human rights,False,,"Houston, TX",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
RxKane,RXKANE,195,Tue Oct 06 11:55:47 +0000 2020,16614,False,343,21990,"#VOTEFORYOURLIVES!
Because you REALLY need to.
#IweartheMASK",False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for Android,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Colin MacKay,coljmackay,1346,Tue Oct 06 11:55:44 +0000 2020,54622,False,374,347,"Interested in politics, education, sports and miscellaneous items. Enjoy NHL, OHL hockey and NBA. For 34 years watched the Belleville Bulls.",False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
Dawn,DawnMm08,447,Tue Oct 06 11:55:28 +0000 2020,63700,False,461,49684,,False,,,RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter Web App,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
FHP Tampa,FHPTampa,9138,Tue Oct 06 11:55:02 +0000 2020,15958,False,202,7603,Official Troop C account for the Florida Highway Patrol | Feed not monitored 24/7 | Office of PAO | (Follows and retweets are not endorsements).,False,,"Florida, USA",RT @NHC_Atlantic: #Delta has continued to rapidly intensify overnight and is now at category-2 strength.  Here are the Key Messages for thi…,Delta,Twitter for iPhone,Delta,0.0,1.0,9,29,16,16,18,20,18,18,Mexico,cyclone
BobbiStorm,BobbiStorm,4493,Tue Oct 06 11:54:52 +0000 2020,75215,False,950,36042,"Studied Meteorology & Geography at FIU for my degrees in International Relations & English. Writer, blogger, storm chaser and dancer. https://t.co/6JphU6i0PM",False,,Miami,Seems like those old historical #hurricanes packed a punch tho #Hola in 1964 in current times.... 1893 always stand… https://t.co/n9vHgvSClN,"hurricanes,Hola",Twitter for iPhone,,0.03333333333333333,0.20000000000000004,8,37,4,4,0,0,0,0,Mexico,cyclone
